City,State,Population
Hammond city, Indiana,"77,844"
Evanston city, Illinois,"78,102"
Apex town, North Carolina,"64,324"
Scranton city, Pennsylvania,"76,340"
New Britain city, Connecticut,"74,150"
Rock Hill city, South Carolina,"74,366"
Bellflower city, California,"79,213"
Pleasanton city, California,"79,858"
Rogers city, Arkansas,"69,924"
Arlington Heights village, Illinois,"77,663"
Appleton city, Wisconsin,"75,678"
Noblesville city, Indiana,"69,854"
Blaine city, Minnesota,"70,216"
Tamarac city, Florida,"71,903"
Rocklin city, California,"71,600"
Apple Valley town, California,"75,784"
Bolingbrook village, Illinois,"73,949"
Gulfport city, Mississippi,"72,925"
Bayonne city, New Jersey,"71,686"
Greenville city, South Carolina,"71,110"
San Marcos city, Texas,"67,782"
Redlands city, California,"73,179"
West Des Moines city, Iowa,"68,725"
Johnson City city, Tennessee,"71,060"
Lake Elsinore city, California,"70,250"
Framingham city, Massachusetts,"72,377"
Kalamazoo city, Michigan,"73,547"
Wilmington city, Delaware,"70,889"
Caldwell city, Idaho,"60,170"
Turlock city, California,"72,689"
Maple Grove city, Minnesota,"70,268"
Tulare city, California,"68,913"
St. Charles city, Missouri,"70,586"
Eau Claire city, Wisconsin,"69,449"
Harlingen city, Texas,"71,989"
St. Cloud city, Minnesota,"69,615"
Mount Vernon city, New York,"73,908"
East Orange city, New Jersey,"69,656"
Lafayette city, Indiana,"70,804"
Camden city, New Jersey,"71,775"
Dothan city, Alabama,"71,068"
Waukesha city, Wisconsin,"71,151"
North Richland Hills city, Texas,"69,912"
St. Joseph city, Missouri,"72,479"
St. Cloud city, Florida,"58,974"
Jacksonville city, North Carolina,"72,740"
Walnut Creek city, California,"70,131"
Eastvale city, California,"69,751"
Passaic city, New Jersey,"70,547"
Conway city, Arkansas,"64,154"
Gaithersburg city, Maryland,"69,629"
Weston city, Florida,"68,114"
Grand Junction city, Colorado,"65,641"
Dublin city, California,"72,526"
Ocala city, Florida,"63,678"
Commerce City city, Colorado,"62,431"
Delray Beach city, Florida,"66,846"
Camarillo city, California,"70,731"
Shawnee city, Kansas,"67,315"
Portland city, Maine,"68,409"
Idaho Falls city, Idaho,"65,622"
Schenectady city, New York,"67,039"
Jackson city, Tennessee,"68,214"
Baldwin Park city, California,"72,191"
Canton city, Ohio,"70,743"
Yuba City city, California,"70,213"
Madera city, California,"66,281"
Ames city, Iowa,"66,432"
Casa Grande city, Arizona,"53,660"
Decatur city, Illinois,"71,152"
Lodi city, California,"66,339"
Rockville city, Maryland,"67,099"
Haverhill city, Massachusetts,"67,776"
Greenwood city, Indiana,"63,822"
Rowlett city, Texas,"62,553"
Redondo Beach city, California,"71,583"
Novi city, Michigan,"66,232"
Palo Alto city, California,"68,585"
Gary city, Indiana,"69,082"
Waterloo city, Iowa,"67,309"
Alpharetta city, Georgia,"65,811"
Oshkosh city, Wisconsin,"66,895"
Eagan city, Minnesota,"68,862"
Davis city, California,"66,861"
Huntersville town, North Carolina,"61,406"
